SIC,SIC Title (and note),2002 NAICS,2002 NAICS Title
4492,Towing and Tugboat Services ,488330,Navigational Services to Shipping
4493,Marinas,713930,Marinas
4499,"Water Transportation Services, NEC (lighterage)",483211,Inland Water Freight Transportation
4499,"Water Transportation Services, NEC (lighthouse and canal operations)",488310,Port and Harbor Operations
4499,"Water Transportation Services, NEC (piloting vessels in and out of harbors and marine salvage)",488330,Navigational Services to Shipping
4499,"Water Transportation Services, NEC (all but lighthouse operations, piloting vessels in and out of harbors, boat and ship rental, marine salvage, lighterage, marine surveyor services, and canal operations)",488390,Other Support Activities for Water Transportation
4499,"Water Transportation Services, NEC (boat and ship rental, commercial)",532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing"
4499,"Water Transportation Services, NEC (marine surveying services)",541990,"All Other Professional, Scientific, and Technical Services"
4512,"Air Transportation, Scheduled (passenger)",481111,Scheduled Passenger Air Transportation
4512,"Air Transportation, Scheduled (freight)",481112,Scheduled Freight Air Transportation
4513,Air Courier Services,492110,Couriers
4522,"Air Transportation, Nonscheduled (passenger)",481211,Nonscheduled Chartered Passenger Air Transportation
4522,"Air Transportation, Nonscheduled (freight)",481212,Nonscheduled Chartered Freight Air Transportation
4522,"Air Transportation, Nonscheduled (using general purpose aircraft for a variety of passenger, freight, courier, and other uses)",481219,Other Nonscheduled Air Transportation
4522,"Air Transportation, Nonscheduled (sightseeing planes)",487990,"Scenic and Sightseeing Transportation, Other"
4522,"Air Transportation, Nonscheduled (air ambulance)",621910,Ambulance Services
4581,"Airports, Flying Fields, and Airport Terminal Services (private air traffic control)",488111,Air Traffic Control
4581,"Airports, Flying Fields, and Airport Terminal Services (air freight handling at airports, hangar operations, airport terminal services, aircraft storage, airports, and flying fields)",488119,Other Airport Operations
4581,"Airports, Flying Fields, and Airport Terminal Services (aircraft servicing and repairing)",488190,Other Support Activities for Air Transportation
4581,"Airports, Flying Fields, and Airport Terminal Services (airplane cleaning and janitorial services)",561720,Janitorial Services
4581,"Airports, Flying Fields, and Airport Terminal Services (aircraft upholstery repair)",811420,Reupholstery and Furniture Repair
4612,Crude Petroleum Pipelines,486110,Pipeline Transportation of Crude Oil
4613,Refined Petroleum Pipelines,486910,Pipeline Transportation of Refined Petroleum Products
4619,"Pipelines, NEC",486990,All Other Pipeline Transportation
4724,Travel Agencies,561510,Travel Agencies
4725,Tour Operators,561520,Tour Operators
4729,"Arrangement of Passenger Transportation, NEC (arrangement of carpools and vanpools)",488999,All Other Support Activities for Transportation
4729,"Arrangement of Passenger Transportation, NEC (except arrangement of vanpools and carpools)",561599,All Other Travel Arrangement and Reservation Services
4731,"Arrangement of Transportation of Freight and Cargo (except freight rate auditors, private mail centers, and tariff consultants)",488510,Freight Transportation Arrangement
4731,Arrangement of Transportation of Freight and Cargo (freight rate-auditors and tariff consulting),541614,"Process, Physical Distribution, and Logistics Consulting Services"
4741,"Rental of Railroad Cars (grain leveling in railroad cars, grain trimming for railroad equipment, precooling of fruits and vegetables in connection with transportation, and railroad car cleaning, icing, ventilating, and heating)",488210,Support Activities for Rail Transportation
4741,Rental of Railroad Cars (rental of railroad cars),532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing"
4783,Packing and Crating,488991,Packing and Crating
4785,Fixed Facilities and Inspection and Weighing Services for Motor Vehicle Transportation (marine cargo checkers),488390,Other Support Activities for Water Transportation
4785,Fixed Facilities and Inspection and Weighing Services for Motor Vehicle Transportation (except marine cargo checkers),488490,Other Support Activities for Road Transportation
4789,"Transportation Services, NEC (horse-drawn cabs and carriages)",487110,"Scenic and Sightseeing Transportation, Land"
4789,"Transportation Services, NEC (car loading and unloading; cleaning of railroad ballast; dining, parlor, sleeping, and other car operations; and railroad maintenance)",488210,Support Activities for Rail Transportation
4789,"Transportation Services, NEC (pipeline terminals and stockyards for transportation)",488999,All Other Support Activities for Transportation
4789,"Transportation Services, NEC (dining car operations on a fee or contract basis)",722310,Food Service Contractors
4812,Radiotelephone Communications (paging carriers),517211,Paging
4812,Radiotelephone Communications (cellular carriers),517212,Cellular and Other Wireless Telecommunications
4812,Radiotelephone Communications (paging and cellular resellers),517310,Telecommunications Resellers
4813,"Telephone Communications, Except Radiotelephone (except resellers)",517110,Wired Telecommunications Carriers
4813,"Telephone Communications, Except Radiotelephone (resellers)",517310,Telecommunications Resellers
4822,Telegraph and Other Message Communications,517110,Wired Telecommunications Carriers
4832,Radio Broadcasting Stations (networks),515111,Radio Networks
4832,Radio Broadcasting Stations (except networks),515112,Radio Stations
4833,Television Broadcasting Stations ,515120,Television Broadcasting 
4841,Cable and Other Pay Television Services (cable networks),515210,Cable and Other Subscription Programming
4841,Cable and Other Pay Television Services (except cable and other subscription programming),517510,Cable and Other Program Distribution
4899,"Communications Services, NEC (radio broadcasting operated by cab companies)",485310,Taxi Service
4899,"Communications Services, NEC (ship to shore broadcasting carriers)",517212,Cellular and Other Wireless Telecommunications
4899,"Communications Services, NEC (satellite communications)",517410,Satellite Telecommunications
4899,"Communications Services, NEC (except ship to shore broadcasting, satellite communications, pay telephone concession operators)",517910,Other Telecommunications
4899,"Communications Services, NEC (pay telephone concession operators)",812990,All Other Personal Services
4911,Electric Services (hydroelectric power generation),221111,Hydroelectric Power Generation
4911,Electric Services (fossil fuel power generation),221112,Fossil Fuel Electric Power Generation
4911,Electric Services (nuclear electric power generation),221113,Nuclear Electric Power Generation
4911,Electric Services (other electric power generation),221119,Other Electric Power Generation
4911,Electric Services (electric power transmission and control),221121,Electric Bulk Power Transmission and Control
4911,Electric Services (electric power distribution),221122,Electric Power Distribution
4922,Natural Gas Transmission,486210,Pipeline Transportation of Natural Gas
4923,Natural Gas Transmission and Distribution (distribution),221210,Natural Gas Distribution
4923,Natural Gas Transmission and Distribution (transmission),486210,Pipeline Transportation of Natural Gas
4924,Natural Gas Distribution,221210,Natural Gas Distribution
4925,"Mixed, Manufactured, or Liquefied Petroleum Gas Production and/or Distribution",221210,Natural Gas Distribution
4931,Electric and Other Services Combined (hydroelectric power generation) ,221111,Hydroelectric Power Generation
4931,Electric and Other Services Combined (fossil fuel power generation),221112,Fossil Fuel Electric Power Generation
4931,Electric and Other Services Combined (nuclear power generation),221113,Nuclear Electric Power Generation
4931,Electric and Other Services Combined (other electric power generation),221119,Other Electric Power Generation
4931,Electric and Other Services Combined (electric power transmission and control),221121,Electric Bulk Power Transmission and Control
4931,Electric and Other Services Combined (electric power distribution),221122,Electric Power Distribution
4931,Electric and Other Services Combined (natural gas distribution),221210,Natural Gas Distribution
4932,Gas and Other Services Combined (natural gas distribution),221210,Natural Gas Distribution
4939,"Combination Utilities, NEC (hydroelectric power generation)",221111,Hydroelectric Power Generation
4939,"Combination Utilities, NEC (fossil fuel power generation)",221112,Fossil Fuel Electric Power Generation
4939,"Combination Utilities, NEC (nuclear power generation)",221113,Nuclear Electric Power Generation
4939,"Combination Utilities, NEC (other electric power generation)",221119,Other Electric Power Generation
4939,"Combination Utilities, NEC (electric power transmission and control) ",221121,Electric Bulk Power Transmission and Control
4939,"Combination Utilities, NEC (electric power distribution)",221122,Electric Power Distribution
4939,"Combination Utilities, NEC (natural gas distribution)",221210,Natural Gas Distribution
4941,Water Supply,221310,Water Supply and Irrigation Systems
4952,Sewerage Systems,221320,Sewage Treatment Facilities
4953,Refuse Systems (hazardous waste treatment and disposal),562211,Hazardous Waste Treatment and Disposal
4953,Refuse Systems (solid waste landfills),562212,Solid Waste Landfill
4953,Refuse Systems (solid waste combustors and incinerators),562213,Solid Waste Combustors and Incinerators
4953,Refuse Systems (other nonhazardous waste treatment and disposal),562219,Other Nonhazardous Waste Treatment and Disposal
4953,Refuse Systems (materials recovery facilities),562920,Materials Recovery Facilities
4959,"Sanitary Services, NEC (vacuuming of runways)",488119,Other Airport Operations
4959,"Sanitary Services, NEC (snow plowing and sweeping streets and highways)",488490,Other Support Activities for Road Transportation
4959,"Sanitary Services, NEC (mosquito eradication)",561710,Exterminating and Pest Control Services
4959,"Sanitary Services, NEC (cleaning parking lots and driveways)",561790,Other Services to Buildings and Dwellings
4959,"Sanitary Services, NEC (remediation services)",562910,Remediation Services
4959,"Sanitary Services, NEC (all but remediation services, malaria control, mosquito eradication, snow plowing, street sweeping, and airport runway vacuuming)",562998,All Other Miscellaneous Waste Management Services
4961,Steam and Air-Conditioning Supply,221330,Steam and Air-Conditioning Supply
4971,Irrigation Systems,221310,Water Supply and Irrigation Systems
5012,Automobiles and Other Motor Vehicles (merchant wholesalers),423110,Automobile and Other Motor Vehicle Merchant Wholesalers
5012,Automobiles and Other Motor Vehicles (business to business electronic markets),425110,Business to Business Electronic Markets
5012,Automobiles and Other Motor Vehicles (agents and brokers),425120,Wholesale Trade Agents and Brokers
5013,Motor Vehicle Supplies and New Parts (merchant wholesalers except those selling via retail method) ,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers
5013,Motor Vehicle Supplies and New Parts (business to business electronic markets),425110,Business to Business Electronic Markets
5013,Motor Vehicle Supplies and New Parts (agents and brokers),425120,Wholesale Trade Agents and Brokers
5013,Motor Vehicle Supplies and New Parts (auto parts sold via retail method),441310,Automotive Parts and Accessories Stores
5014,Tires and Tubes (merchant wholesalers except those selling via retail method),423130,Tire and Tube Merchant Wholesalers
5014,Tires and Tubes (business to business electronic markets),425110,Business to Business Electronic Markets
5014,Tires and Tubes (agents and brokers),425120,Wholesale Trade Agents and Brokers
5014,Tires and Tubes (tires and tubes sold via retail method),441320,Tire Dealers
5015,"Motor Vehicle Parts, Used (merchant wholesalers except those selling via retail method)",423140,Motor Vehicle Parts (Used) Merchant Wholesalers
5015,"Motor Vehicle Parts, Used (business to business electronic markets)",425110,Business to Business Electronic Markets
5015,"Motor Vehicle Parts, Used (agents and brokers)",425120,Wholesale Trade Agents and Brokers
5015,"Motor Vehicle Parts, Used (used auto parts sold via the retail method)",441310,Automotive Parts and Accessories Stores
5021,Furniture (merchant wholesalers except those selling via retail method),423210,Furniture Merchant Wholesalers
5021,Furniture (business to business electronic markets),425110,Business to Business Electronic Markets
5021,Furniture (agents and brokers),425120,Wholesale Trade Agents and Brokers
5021,Furniture (furniture sold via the retail method),442110,Furniture Stores
5023,Homefurnishings (merchant wholesalers except those selling via retail method),423220,Home Furnishing Merchant Wholesalers
5023,Homefurnishings (business to business electronic markets),425110,Business to Business Electronic Markets
5023,Homefurnishings (agents and brokers),425120,Wholesale Trade Agents and Brokers
5023,Homefurnishings (floor coverings sold via retail method),442210,Floor Covering Stores
5031,"Lumber, Plywood, Millwork, and Wood Panels (merchant wholesalers)",423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
5031,"Lumber, Plywood, Millwork, and Wood Panels (business to business electronic markets)",425110,Business to Business Electronic Markets
5031,"Lumber, Plywood, Millwork, and Wood Panels (agents and brokers)",425120,Wholesale Trade Agents and Brokers
5031,"Lumber, Plywood, Millwork, and Wood Panels (sold via retail method)",444110,Home Centers
5032,"Brick, Stone, and Related Construction Materials  (merchant wholesalers except construction materials sold via retail method)",423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers"
5032,"Brick, Stone, and Related Construction Materials  (business to business electronic markets)",425110,Business to Business Electronic Markets
5032,"Brick, Stone, and Related Construction Materials  (agents and brokers)",425120,Wholesale Trade Agents and Brokers
5032,"Brick, Stone, and Related Construction Materials (brick, stone, and related construction materials sold via retail method)",444190,Other Building Material Dealers
5033,"Roofing, Siding, and Insulation Materials (merchant wholesalers except those selling via retail method)",423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers"
5033,"Roofing, Siding, and Insulation Materials (business to business electronic markets)",425110,Business to Business Electronic Markets
5033,"Roofing, Siding, and Insulation Materials (agents and brokers)",425120,Wholesale Trade Agents and Brokers
5033,"Roofing, Siding, and Insulation Materials (roofing, siding, and insulation materials sold via retail method)",444190,Other Building Material Dealers
5039,"Construction Materials, NEC (merchant wholesalers of prefabricated buildings and structural assemblies, wood)",423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
5039,"Construction Materials, NEC (merchant wholesalers of construction materials, nec except wood prefabricated buildings and structural assemblies and merchant wholesalers selling via retail method)",423390,Other Construction Material Merchant Wholesalers
5039,"Construction Materials, NEC (business to business electronic markets)",425110,Business to Business Electronic Markets
5039,"Construction Materials, NEC (agents and brokers)",425120,Wholesale Trade Agents and Brokers
5039,"Construction Materials, NEC (glass sold via retail method)",444190,Other Building Material Dealers
5043,Photographic Equipment and Supplies (merchant wholesalers),423410,Photographic Equipment and Supplies Merchant Wholesalers
5043,Photographic Equipment and Supplies (business to business electronic markets),425110,Business to Business Electronic Markets
5043,Photographic Equipment and Supplies (agents and brokers),425120,Wholesale Trade Agents and Brokers
5044,Office Equipment (merchant wholesalers except those selling office equipment via retail method),423420,Office Equipment Merchant Wholesalers
5044,Office Equipment (business to business electronic markets),425110,Business to Business Electronic Markets
5044,Office Equipment (agents and brokers),425120,Wholesale Trade Agents and Brokers
5044,Office Equipment (office equipment sold via retail method),453210,Office Supplies and Stationary Stores
5045,"Computers and Computer Peripheral Equipment and Software (merchant wholesalers except those selling computers, equipment, and software via retail method)",423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
5045,Computers and Computer Peripheral Equipment and Software (business to business electronic markets),425110,Business to Business Electronic Markets
5045,Computers and Computer Peripheral Equipment and Software (agents and brokers),425120,Wholesale Trade Agents and Brokers
5045,"Computers and Computer Peripheral Equipment and Software (computers, peripherals, and software sold via retail method)",443120,Computer and Software Stores
5046,"Commercial Equipment, NEC (merchant wholesalers)",423440,Other Commercial Equipment Merchant Wholesalers
5046,"Commercial Equipment, NEC (business to business electronic markets)",425110,Business to Business Electronic Markets
5046,"Commercial Equipment, NEC (agents and brokers)",425120,Wholesale Trade Agents and Brokers
5047,"Medical, Dental and Hospital Equipment and Supplies (merchant wholesalers except those selling medical, dental, and hospital equipment and supplies via retail method)",423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
5047,"Medical, Dental and Hospital Equipment and Supplies (business to business electronic markets)",425110,Business to Business Electronic Markets
5047,"Medical, Dental and Hospital Equipment and Supplies (agents and brokers)",425120,Wholesale Trade Agents and Brokers
5047,"Medical, Dental, and Hospital Equipment and Supplies (medical, dental, and hospital equipment and supplies sold via retail method)",446199,All Other Health and Personal Care Stores 
5048,Ophthalmic Goods (merchant wholesalers),423460,Ophthalmic Goods Merchant Wholesalers
5048,Ophthalmic Goods (business to business electronic markets),425110,Business to Business Electronic Markets
5048,Ophthalmic Goods (agents and brokers),425120,Wholesale Trade Agents and Brokers
5049,"Professional Equipment and Supplies, NEC (merchant wholesalers except those selling religious and teacher's school supplies via retail method) ",423490,Other Professional Equipment and Supplies Merchant Wholesalers
5049,"Professional Equipment and Supplies, NEC (business to business electronic markets)",425110,Business to Business Electronic Markets
5049,"Professional Equipment and Supplies, NEC (agents and brokers)",425120,Wholesale Trade Agents and Brokers
5049,"Professional Equipment and Supplies, NEC (religious and teacher's school supplies sold via retail method)",453210,Office Supplies and Stationery Stores
5051,Metals Service Centers and Offices (merchant wholesalers) ,423510,Metal Service Centers and Other Metal Merchant Wholesalers
5051,Metals Service Centers and Offices (business to business electronic markets) ,425110,Business to Business Electronic Markets
5051,Metals Service Centers and Offices (agents and brokers) ,425120,Wholesale Trade Agents and Brokers
5052,Coal and Other Minerals and Ores (merchant wholesalers),423520,Coal and Other Mineral and Ore Merchant Wholesalers
5052,Coal and Other Minerals and Ores (business to business electronic markets),425110,Business to Business Electronic Markets
5052,Coal and Other Minerals and Ores (agents and brokers),425120,Wholesale Trade Agents and Brokers
5063,"Electrical Apparatus and Equipment, Wiring Supplies and Construction Materials (merchant wholesalers except those selling electrical supplies, equipment, and apparatus via retail method)",423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
5063,"Electrical Apparatus and Equipment, Wiring Supplies and Construction Materials (business to business electronic markets)",425110,Business to Business Electronic Markets
5063,"Electrical Apparatus and Equipment, Wiring Supplies and Construction Materials (agents and brokers)",425120,Wholesale Trade Agents and Brokers
5063,"Electrical Apparatus and Equipment, Wiring Supplies, and Construction Materials (electrical supplies, equipment, and apparatus sold via retail method)",444190,Other Building Material Dealers
5064,"Electrical Appliances, Television and Radio Sets (merchant wholesalers except those selling appliances, TVs, and radios via retail method)",423620,"Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers"
5064,"Electrical Appliances, Television and Radio Sets (business to business electronic markets)",425110,Business to Business Electronic Markets
5064,"Electrical Appliances, Television and Radio Sets (agents and brokers)",425120,Wholesale Trade Agents and Brokers
5064,"Electrical Appliances, Television and Radio Sets (household appliances sold via retail method)",443111,Household Appliance Stores
5064,"Electrical Appliances, Television and Radio Sets (television and radio sets sold via retail method)",443112,"Radio, Television, and Other Electronics Stores"
5064,"Electrical Appliances, Television and Radio Sets (ceiling fans sold via retail method)",444190,Other Building Material Dealers
5065,"Electronic Parts and Equipment, NEC (merchant wholesalers except those selling electronic parts and equipment via retail method)",423690,Other Electronic Parts and Equipment Merchant Wholesalers
5065,"Electronic Parts and Equipment, NEC (business to business electronic markets)",425110,Business to Business Electronic Markets
5065,"Electronic Parts and Equipment, NEC (agents and brokers)",425120,Wholesale Trade Agents and Brokers
5065,"Electronic Parts and Equipment, NEC (amateur radios, CB's, intercommunications equipment, public address equipment, and similar communications equipment sold via retail method)",443112,"Radio, Television, and Other Electronics Stores"
5065,"Electronic Parts and Equipment, NEC (modems and other computer components sold via retail method)",443120,Computer and Software Stores
5072,Hardware (merchant wholesalers except those selling hardware via retail method),423710,Hardware Merchant Wholesalers
5072,Hardware (business to business electronic markets),425110,Business to Business Electronic Markets
5072,Hardware (agents and brokers),425120,Wholesale Trade Agents and Brokers
5072,Hardware (hardware sold via retail method),444130,Hardware Stores
5074,Plumbing and Heating Equipment and Supplies (Hydronics) (merchant wholesalers except those selling  plumbing and hydronic heating equipment via retail method),423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers 
5074,Plumbing and Heating Equipment and Supplies (Hydronics) (business to business electronic markets),425110,Business to Business Electronic Markets
5074,Plumbing and Heating Equipment and Supplies (Hydronics) (agents and brokers),425120,Wholesale Trade Agents and Brokers
5074,Plumbing and Heating Equipment and Supplies (Hydronics)(plumbing and hydronic heating equipment sold via retail method),444190,Other Building Material Dealers
5075,Warm Air Heating and Air-Conditioning Equipment and Supplies (merchant wholesalers),423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
5075,Warm Air Heating and Air-Conditioning Equipment and Supplies (business to business electronic markets),425110,Business to Business Electronic Markets
5075,Warm Air Heating and Air-Conditioning Equipment and Supplies (agents and brokers),425120,Wholesale Trade Agents and Brokers
5078,Refrigeration Equipment and Supplies (merchant wholesalers),423740,Refrigeration Equipment and Supplies Merchant Wholesalers
5078,Refrigeration Equipment and Supplies (business to business electronic markets),425110,Business to Business Electronic Markets
5078,Refrigeration Equipment and Supplies (agents and brokers),425120,Wholesale Trade Agents and Brokers
5082,Construction and Mining (Except Petroleum) Machinery and Equipment (merchant wholesalers),423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
5082,Construction and Mining (Except Petroleum) Machinery and Equipment (business to business electronic markets),425110,Business to Business Electronic Markets
5082,Construction and Mining (Except Petroleum) Machinery and Equipment (agents and brokers),425120,Wholesale Trade Agents and Brokers
5083,Farm and Garden Machinery and Equipment (merchant wholesalers except those selling lawn and garden equipment via retail method),423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
5083,Farm and Garden Machinery and Equipment (business to business electronic markets),425110,Business to Business Electronic Markets
5083,Farm and Garden Machinery and Equipment (agents and brokers),425120,Wholesale Trade Agents and Brokers
5083,Farm and Garden Machinery and Equipment (lawn and garden equipment sold via retail method),444210,Outdoor Power Equipment Stores
5084,Industrial Machinery and Equipment (merchant wholesalers),423830,Industrial Machinery and Equipment Merchant Wholesalers
5084,Industrial Machinery and Equipment (business to business electronic markets),425110,Business to Business Electronic Markets
5084,Industrial Machinery and Equipment (agents and brokers),425120,Wholesale Trade Agents and Brokers
5085,Industrial Supplies (merchant wholesalers of fluid power accessories),423830,Industrial Machinery and Equipment Merchant Wholesalers
5085,Industrial Supplies (merchant wholesalers of industrial supplies except fluid power accessories and merchant wholesalers selling industrial supplies via retail method),423840,Industrial Supplies Merchant Wholesalers
5085,Industrial Supplies (business to business electronic markets),425110,Business to Business Electronic Markets
5085,Industrial Supplies (agents and brokers),425120,Wholesale Trade Agents and Brokers
5085,Industrial Supplies (sold via retail method),453998,All Other Miscellaneous Store Retailers (except Tobacco Stores)
5087,Service Establishment Equipment and Supplies (merchant wholesalers except those selling beauty and barber shop equipment and supplies via retail method),423850,Service Establishment Equipment and Supplies Merchant Wholesalers
5087,Service Establishment Equipment and Supplies (business to business electronic markets),425110,Business to Business Electronic Markets
5087,Service Establishment Equipment and Supplies (agents and brokers),425120,Wholesale Trade Agents and Brokers
5087,Service Establishment Equipment and Supplies (beauty and barber shop equipment and supplies sold via retail method),446120,"Cosmetics, Beauty Supplies, and Perfume Stores"
5088,"Transportation Equipment and Supplies, Except Motor Vehicles (merchant wholesalers)",423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers
5088,"Transportation Equipment and Supplies, Except Motor Vehicles (business to business electronic markets)",425110,Business to Business Electronic Markets
5088,"Transportation Equipment and Supplies, Except Motor Vehicles (agents and brokers)",425120,Wholesale Trade Agents and Brokers
5091,Sporting and Recreational Goods and Supplies (merchant wholesalers except those selling sporting and recreational goods via retail method),423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers
5091,Sporting and Recreational Goods and Supplies (business to business electronic markets),425110,Business to Business Electronic Markets
5091,Sporting and Recreational Goods and Supplies (agents and brokers),425120,Wholesale Trade Agents and Brokers
5091,Sporting and Recreational Goods and Supplies (sporting and recreational goods sold via retail method),451110,Sporting Goods Stores
5092,Toys and Hobby Goods and Supplies (merchant wholesalers except those selling toys and hobby goods and supplies via retail method),423920,Toy and Hobby Goods and Supplies Merchant Wholesalers
5092,Toys and Hobby Goods and Supplies (business to business electronic markets),425110,Business to Business Electronic Markets
5092,Toys and Hobby Goods and Supplies (agents and brokers),425120,Wholesale Trade Agents and Brokers
5092,Toys and Hobby Goods and Supplies (toys and hobby goods and supplies sold via retail method),451120,"Hobby, Toy, and Game Stores"
5093,Scrap and Waste Materials (merchant wholesalers),423930,Recyclable Material Merchant Wholesalers
5093,Scrap and Waste Materials (business to business electronic markets) ,425110,Business to Business Electronic Markets
5093,Scrap and Waste Materials (agents and brokers),425120,Wholesale Trade Agents and Brokers
5094,"Jewelry, Watches, Precious Stones, and Precious Metals (merchant wholesalers except those selling jewelry and related goods via retail method)",423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers"
5094,"Jewelry, Watches, Precious Stones, and Precious Metals (business to business electronic markets)",425110,Business to Business Electronic Markets
5094,"Jewelry, Watches, Precious Stones, and Precious Metals (agents and brokers)",425120,Wholesale Trade Agents and Brokers
5094,"Jewelry, Watches, Precious Stones, and Precious Metals (jewelry and related goods sold via retail method)",448310,Jewelry Stores
5099,"Durable Goods, NEC (merchant wholesalers except those selling miscellaneous durable goods via retail method)",423990,Other Miscellaneous Durable Goods Merchant Wholesalers
5099,"Durable Goods, NEC (business to business electronic markets)",425110,Business to Business Electronic Markets
5099,"Durable Goods, NEC (agents and brokers)",425120,Wholesale Trade Agents and Brokers
5099,"Durable Goods, NEC (gas lighting fixtures, rough timbers, and other wood or construction materials sold via retail method)",444190,Other Building Material Dealers
5099,"Durable Goods, NEC (ammunition and firearms sold via retail method)",451110,Sporting Goods Stores
5099,"Durable Goods, NEC (coin-operated game machines sold via retail method)",451120,"Hobby, Toy, and Game Stores"
5099,"Durable Goods, NEC (prerecorded audio and video tapes and discs sold via retail method)",451220,"Prerecorded Tape, Compact Disc, and Record Stores"
5111,Printing and Writing Paper (merchant wholesalers except those selling printing and writing paper via retail method),424110,Printing and Writing Paper Merchant Wholesalers
5111,Printing and Writing Paper (business to business electronic markets),425110,Business to Business Electronic Markets
5111,Printing and Writing Paper (agents and brokers),425120,Wholesale Trade Agents and Brokers
5111,Printing and Writing Paper (printing and writing paper sold via retail method),453210,Office Supplies and Stationary Stores
5112,Stationery and Office Supplies (merchant wholesalers except those selling stationery and office supplies via retail method),424120,Stationery and Office Supplies Merchant Wholesalers
5112,Stationery and Office Supplies (business to business electronic markets),425110,Business to Business Electronic Markets
5112,Stationery and Office Supplies (agents and brokers),425120,Wholesale Trade Agents and Brokers
5112,Stationery and Office Supplies (stationery and office supplies sold via retail method),453210,Office Supplies and Stationery Stores
5113,Industrial and Personal Service Paper (merchant wholesalers except those selling industrial and personal service paper via retail method),424130,Industrial and Personal Service Paper Merchant Wholesalers
5113,Industrial and Personal Service Paper (business to business electronic markets),425110,Business to Business Electronic Markets
5113,Industrial and Personal Service Paper (agents and brokers),425120,Wholesale Trade Agents and Brokers
5113,Industrial and Personal Service Paper (industrial and personal service paper sold via retail method),453998,All Other Miscellaneous Store Retailers (except Tobacco Stores)
5122,"Drugs, Drug Proprietaries, and Druggists’ Sundries (merchant wholesalers except those selling drugs and sundries via retail method)",424210,Drugs and Druggists’ Sundries Merchant Wholesalers
5122,"Drugs, Drug Proprietaries, and Druggists’ Sundries (business to business electronic markets)",425110,Business to Business Electronic Markets
5122,"Drugs, Drug Proprietaries, and Druggists’ Sundries (agents and brokers)",425120,Wholesale Trade Agents and Brokers
5122,"Drugs, Drug Proprietaries, and Druggists’ Sundries (drugs and sundries sold via retail method)",446110,Pharmacies and Drug Stores
5122,"Drugs, Drug Proprietaries, and Druggists’ Sundries (cosmetics sold via retail method)",446120,"Cosmetics, Beauty Supplies, and Perfume Stores"
5122,"Drugs, Drug Proprietaries, and Druggists' Sundries (vitamins sold via retail method)",446191,Food (Health) Supplement Stores
5131,"Piece Goods, Notions, and Other Dry Goods (broadwoven converters)",313311,Broadwoven Fabric Finishing Mills
5131,"Piece Goods, Notions, and Other Dry Goods (piece goods converters, except broadwoven)",313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills
5131,"Piece Goods, Notions, and Other Dry Goods (merchant wholesalers except broadwoven and piece goods converters and merchant wholesalers selling piece goods, notions and other dry goods via retail method)",424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
5131,"Piece Goods, Notions, and Other Dry Goods (business to business electronic markets)",425110,Business to Business Electronic Markets
5131,"Piece Goods, Notions, and Other Dry Goods (agents and brokers)",425120,Wholesale Trade Agents and Brokers
5131,"Piece Goods, Notions, and Other Dry Goods (piece goods, notions, and other dry goods sold via retail method)",451130,"Sewing, Needlework, and Piece Goods Stores"
5136,Men's and Boys' Clothing and Furnishings (merchant wholesalers of athletic uniforms),423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers
5136,Men’s and Boys’ Clothing and Furnishings (merchant wholesalers except wholesaling athletic uniforms and uniforms and merchant wholesalers selling work clothing via retail method),424320,Men’s and Boys’ Clothing and Furnishings Merchant Wholesalers
5136,Men’s and Boys’ Clothing and Furnishings (business to business electronic markets),425110,Business to Business Electronic Markets
5136,Men’s and Boys’ Clothing and Furnishings (agents and brokers),425120,Wholesale Trade Agents and Brokers
5136,"Men's and Boys' Clothing and Furnishings (men's and boys' apparel, except uniforms and work clothing, sold via retail method)",448110,Men's Clothing Stores
5136,Men's and Boys' Clothing and Furnishings (uniforms and work clothing sold via retail method),448190,Other Clothing Stores
5137,"Women's, Children's and Infants' Clothing and Accessories (merchant wholesalers of athletic uniforms)",423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers
